ds,yhat,yhat_lower,yhat_upper
2013-08-31,0.8050232749408811,0.7258630397765349,0.8870905547669056
2013-09-30,0.7790063168276607,0.6942273494048207,0.8550475990462132
2013-10-31,0.8059878647365605,0.7269928442535382,0.895220727489589
2013-11-30,0.791750997775439,0.7058226733657306,0.8751841106306294
2013-12-31,0.7662976938870774,0.6899093654530805,0.8457724149327468
2014-01-31,0.7430093112326155,0.6618785039092908,0.8269943962175974
2014-02-28,0.7670895873863015,0.6844886487093407,0.854232688116171
2014-03-31,0.7974492204464676,0.7111799406798096,0.8844056584346605
2014-04-30,0.8062581678987695,0.7177691079570031,0.8903234243877198
2014-05-31,0.8200481723415625,0.7328824256722506,0.8985273021109537
2014-06-30,0.8394899199320378,0.7604534898960135,0.9306367574340066
2014-07-31,0.8521888605465902,0.768229534965233,0.9326720916371193
2014-08-31,0.8420708279246314,0.7593839973969767,0.9242133488958987
2014-09-30,0.8083013525484282,0.7273538030599024,0.8943459201310276
2014-10-31,0.8388818682898432,0.7526097349762588,0.9177779001633168
2014-11-30,0.8323527244068527,0.743546495658155,0.9178947353013428
2014-12-31,0.8150101594964942,0.7311970038668858,0.9064486076099812
2015-01-31,0.7742850593364985,0.6867218896231758,0.8641295009875019
2015-02-28,0.7782348496826491,0.6907596509052216,0.8585814355462683
2015-03-31,0.8282759415283678,0.7465065682334001,0.9124422199178684
2015-04-30,0.8730340272190512,0.7901634579050033,0.9573381508987266
2015-05-31,0.854814590911533,0.778077920261709,0.9402260104435672
2015-06-30,0.856989651511042,0.7683815482583066,0.9435615182522716
2015-07-31,0.8841027717327771,0.8002121570854683,0.9646147833114307
2015-08-31,0.8790706169136611,0.7988475054023026,0.9591883744418789
2015-09-30,0.8376960559975507,0.7542766510008018,0.9221232308950121
2015-10-31,0.8720336186009714,0.7877403390919767,0.955862857007137
2015-11-30,0.873059234627686,0.7844941401525743,0.9596353414521176
2015-12-31,0.8634529859593305,0.784506287090534,0.9465430626603889
2016-01-31,0.8050093373240319,0.7258951792361893,0.8960579142525178
2016-02-29,0.7943202195647735,0.7103358344112378,0.875491323242037
2016-03-31,0.781534706067402,0.6996170007089522,0.8618247757659357
2016-04-30,0.6961263085209756,0.6149665954529627,0.7808446988552905
2016-05-31,0.7703951294840672,0.6905339696327817,0.8512448885854607
2016-06-30,0.8548962511974036,0.7669307396644492,0.9410796965729804
2016-07-31,0.8167862869089023,0.7314853096195101,0.902671399995466
2016-08-31,0.7761568566861702,0.6961559447427206,0.8591371773116816
2016-09-30,0.7795625578379851,0.6937126824327187,0.870743800438588
2016-10-31,0.8023304047762043,0.7204734262681196,0.888202461603001
2016-11-30,0.7624782449328033,0.6808385736955866,0.8401245526462718
2016-12-31,0.7325873081868575,0.6473871637043633,0.8136886218423025
2017-01-31,0.735684478523751,0.6498130449000218,0.8222973861838395
2017-02-28,0.8051411456103477,0.71691357469299,0.8872857181433826
2017-03-31,0.8106751714922391,0.7254985608885568,0.8933216840510423
2017-04-30,0.7624393777007298,0.6818927151908871,0.8452425677838564
2017-05-31,0.806486293990051,0.7273189668992561,0.8850123304947654
2017-06-30,0.8714166821111146,0.7894741554194442,0.955625210411866
2017-07-31,0.8457129117297599,0.76327388304734,0.926535767830761
2017-08-31,0.8095630280036803,0.7219056131602771,0.8960853705193395
2017-09-30,0.8039236713538104,0.7222964702979101,0.8922407369844683
2017-10-31,0.8271690365577373,0.7415851143645901,0.9094558651619016
2017-11-30,0.7923045947495594,0.7073207370653765,0.8714136000885234
2017-12-31,0.7679382299324978,0.6803423719965334,0.8531594017515273
2018-01-31,0.7509464938224947,0.6773129442892971,0.8318142620510623
2018-02-28,0.7969229875015014,0.7107770377768284,0.881490569992284
2018-03-31,0.8172974618727694,0.729679416301384,0.9001540612483174
2018-04-30,0.8016058954312378,0.7176175542139278,0.8825921308473065
2018-05-31,0.8103486933519648,0.7279533649761591,0.9047193862418039
2018-06-30,0.8544774018837529,0.7728953120643955,0.9441832234479035
2018-07-31,0.8397394729677637,0.7528538634857883,0.9221230969045175
2018-08-31,0.8059241928242409,0.7246085705062998,0.8886226993587412
2018-09-30,0.7895839332951763,0.7009356425169282,0.8704108564740922
2018-10-31,0.8151479417623627,0.7300058496651046,0.9126720705005145
2018-11-30,0.7867521461878783,0.7088643341948504,0.8743652644835158
2018-12-31,0.7692161409426629,0.6863761230268841,0.8568888472599856
2019-01-31,0.7335073076681944,0.6504151935393486,0.8151578865634439
2019-02-28,0.7581968435902424,0.6731583067207756,0.8368888417773598
2019-03-31,0.7982485476394671,0.7114386250159513,0.881123020728947
2019-04-30,0.8185020267529809,0.734110080569806,0.902830191710066
2019-05-31,0.7952311541957237,0.7116825361038959,0.8814831157228334
2019-06-30,0.8220890825457763,0.7356083552748551,0.9050166669489539
2019-07-31,0.8217652783031932,0.7319773598393966,0.9059064941277466
2019-08-31,0.7930358210275898,0.7048367400118388,0.8758018852282046
2019-09-30,0.7690904229034907,0.6808243396097824,0.8531797584997034
2019-10-31,0.7984114234427204,0.7123351095271552,0.8797394894346324
2019-11-30,0.7775703879869229,0.6873248866498609,0.8605718512996794
2019-12-31,0.7677706992007372,0.6829034873688772,0.8567781457210979
2020-01-31,0.7143433177828412,0.6314426903471099,0.7945648997417241
2020-02-29,0.6910474443783202,0.6069176095198761,0.7771047701275989
2020-03-31,0.6782124066042866,0.5927850033900374,0.7676315929123012
2020-04-30,0.5990841347526046,0.5109509658024964,0.6802541238523199
2020-05-31,0.6483436159943012,0.5684906642220822,0.734341773457647
